ARRONDISSEMENT,Superficie (en km2),Population 2012,Population 2017,Residences principales 2017,Logements 2017,Logements Vacants 2017,Residences secondaires et logements occasionnels 2017,"Commerces, transports et services divers 2018",CODE POSTAL
14,6.8,186116.0,187015.0,87120.3,98051.3,7507.1,3423.9,4700.0,75014
13,1.8,17100.0,16266.0,9277.0,13810.1,1418.0,3115.2,5704.0,75013
9,3.7,155006.0,146643.0,83621.3,100591.6,10354.8,6615.5,8564.0,75009
11,5.6,141102.0,135964.0,69385.8,83890.7,7904.7,6600.1,5546.0,75011
10,3.9,38749.0,36808.0,17870.1,27163.4,3186.2,6107.1,18106.0,75010
12,16.4,167613.0,166361.0,82657.5,102702.0,8671.8,11372.7,12356.0,75012
20,1.2,35991.0,34115.0,19927.3,26113.7,2309.8,3876.6,4171.0,75020
4,8.5,238190.0,233392.0,124530.3,151292.2,13044.0,13718.0,9950.0,75001
15,1.0,22390.0,20900.0,11992.1,17292.6,2069.8,3230.8,6064.0,75015
10,2.5,60179.0,58850.0,32467.1,39651.5,2201.6,4982.8,4029.0,75010
6,2.9,94474.0,90372.0,47432.1,59747.2,7796.9,4518.2,7629.0,75006
5,5.7,170156.0,167288.0,88741.5,105634.4,9598.4,7294.5,11510.0,75005
10,6.0,201374.0,195233.0,104862.6,122501.6,10751.4,6887.6,6970.0,75010
11,4.1,57092.0,51367.0,27565.0,39698.2,3136.2,8996.9,5918.0,75011
5,16.3,144925.0,140296.0,74112.1,87105.8,6043.0,6950.7,6301.0,75005
5,2.2,59474.0,59555.0,31768.0,40618.4,3771.0,5079.4,10135.0,75005
19,1.6,27769.0,28088.0,15962.6,22930.8,1973.8,4994.4,3247.0,75019
18,2.2,43224.0,41100.0,22697.2,31546.2,1743.7,7105.2,5392.0,75018
9,7.2,182386.0,182099.0,91265.1,105037.4,7188.0,6584.3,5229.0,75009
18,6.0,197311.0,195814.0,98368.3,107399.9,6412.2,2619.5,4984.0,75018
